    9.79838E+02    -5.42557E-15     3.24224E+02     1.00000E+03     3.03755E+00     9.16355E-04
    1.46595E+03    -8.11726E-15     4.89003E+02     1.51328E+03     4.55188E+00     1.38257E-03
    1.98637E+03    -1.09989E-14     6.68302E+02     2.06372E+03     6.17858E+00     1.89077E-03
    2.45830E+03    -1.36120E-14     8.33484E+02     2.56372E+03     7.65874E+00     2.36016E-03
    2.92946E+03    -1.62208E-14     1.00086E+03     3.06372E+03     9.14136E+00     2.83730E-03
    3.39983E+03    -1.88253E-14     1.17041E+03     3.56372E+03     1.06264E+01     3.32254E-03
    3.86942E+03    -2.14254E-14     1.34213E+03     4.06372E+03     1.21140E+01     3.81622E-03
    4.33822E+03    -2.40211E-14     1.51601E+03     4.56372E+03     1.36040E+01     4.31873E-03
    4.80621E+03    -2.66123E-14     1.69203E+03     5.06372E+03     1.50966E+01     4.83046E-03
    5.27340E+03    -2.91991E-14     1.87018E+03     5.56372E+03     1.65918E+01     5.35182E-03
    5.73977E+03    -3.17815E-14     2.05045E+03     6.06372E+03     1.80896E+01     5.88324E-03
    6.20532E+03    -3.43592E-14     2.23282E+03     6.56372E+03     1.95900E+01     6.42515E-03
    6.67005E+03    -3.69324E-14     2.41730E+03     7.06372E+03     2.10931E+01     6.97797E-03
    7.13395E+03    -3.95009E-14     2.60385E+03     7.56372E+03     2.25989E+01     7.54217E-03
    7.59701E+03    -4.20648E-14     2.79246E+03     8.06372E+03     2.41074E+01     8.11824E-03
    8.05923E+03    -4.46240E-14     2.98314E+03     8.56372E+03     2.56186E+01     8.70668E-03
    8.52060E+03    -4.71785E-14     3.17585E+03     9.06372E+03     2.71326E+01     9.30801E-03
    8.98112E+03    -4.97283E-14     3.37058E+03     9.56372E+03     2.86495E+01     9.92274E-03
    9.44079E+03    -5.22734E-14     3.56732E+03     1.00637E+04     3.01692E+01     1.05514E-02
    9.89960E+03    -5.48137E-14     3.76606E+03     1.05637E+04     3.16917E+01     1.11946E-02
    1.03576E+04    -5.73490E-14     3.96676E+03     1.10637E+04     3.32170E+01     1.18529E-02
    1.08146E+04    -5.98796E-14     4.16943E+03     1.15637E+04     3.47451E+01     1.25268E-02
    1.12708E+04    -6.24054E-14     4.37407E+03     1.20637E+04     3.62763E+01     1.32171E-02
    1.17262E+04    -6.49265E-14     4.58065E+03     1.25637E+04     3.78104E+01     1.39244E-02
    1.21806E+04    -6.74427E-14     4.78914E+03     1.30637E+04     3.93475E+01     1.46494E-02
    1.26342E+04    -6.99539E-14     4.99951E+03     1.35637E+04     4.08875E+01     1.53926E-02
    1.30869E+04    -7.24600E-14     5.21177E+03     1.40637E+04     4.24305E+01     1.61548E-02
