Source Location (kilometers) : (0, 0, 3).
Receiver Location (kilometers) : (223.336, 4.1487, 0).
theta = 9.95436, phi = 89.9995,  c0(zground) = 0.33676 km/s
# x [km]	y [km]	z [km]	Geo. Atten. [dB]	Atmo. Atten. [dB]	Travel Time [s]	  rho  	   c [km/s]  	   u [km/s]  	   v [km/s]  	   w [km/s]  	Slowness_x [s/km]	Slowness_y [s/km]	Slowness_z [s/km]	Jacobian [km^2/rad^2]
36.7828	0.833042	14.2542	-60.5632	-0.000111887	116.246	0.000246711	0.294367	0.0279059	0.0035452	0	2.8402	0.000991387	1.31452	-1490.44
37.9338	0.844771	14.7417	-61.1317	-0.000126147	120.16	0.000228396	0.294485	0.0264642	0.00254916	0	2.84024	0.00109047	1.34426	-1587.53
39.0774	0.855512	15.246	-61.7629	-0.000141295	124.099	0.000212402	0.293492	0.0248436	0.00278592	0	2.84028	0.000944184	1.40485	-1718.48
40.2125	0.866904	15.7695	-62.3756	-0.000156885	128.07	0.000196916	0.29231	0.0238995	0.00264843	0	2.84031	0.000729562	1.45401	-1837.68
41.3422	0.875887	16.3046	-62.9539	-0.000172976	132.062	0.000181591	0.291368	0.0237411	0.00162816	0	2.84036	0.000548371	1.48	-1931.62
42.4691	0.87985	16.8453	-63.5113	-0.000189773	136.065	0.000167093	0.290753	0.0236313	0.000268239	0	2.84042	0.000375646	1.49699	-2017.86
43.5929	0.878555	17.3926	-64.0758	-0.000207389	140.081	0.000153752	0.290258	0.0229159	-0.000926036	0	2.84049	0.000168007	1.52365	-2120.04
44.7114	0.872828	17.9508	-64.6503	-0.000225865	144.115	0.000141354	0.289881	0.0215379	-0.00188766	0	2.84056	-8.11128e-05	1.56085	-2240.51
45.8226	0.863505	18.5231	-65.2335	-0.000245284	148.174	0.000129553	0.28967	0.0196674	-0.00263678	0	2.84061	-0.000347915	1.60354	-2373.54
46.9256	0.851355	19.111	-65.8308	-0.000265797	152.261	0.000118092	0.28959	0.0175103	-0.00319715	0	2.84066	-0.000605485	1.64812	-2514.21
48.0202	0.837096	19.7145	-66.4409	-0.000287606	156.374	0.000106901	0.289684	0.0152754	-0.00357721	0	2.84069	-0.000820481	1.68947	-2655.28
49.1067	0.821545	20.3323	-67.0556	-0.00031094	160.512	9.62273e-05	0.289964	0.0131141	-0.00374142	0	2.84072	-0.000975237	1.72453	-2791.85
50.1862	0.805697	20.9624	-67.6684	-0.000335931	164.671	8.63879e-05	0.290289	0.0111912	-0.00365497	0	2.84073	-0.00107219	1.75355	-2922.42
51.2599	0.790693	21.6023	-68.264	-0.000362485	168.846	7.75867e-05	0.290662	0.00966955	-0.00329483	0	2.84075	-0.00113057	1.77371	-3041.44
52.3296	0.777625	22.2488	-68.8411	-0.00039036	173.032	6.97853e-05	0.291022	0.00862198	-0.00271578	0	2.84077	-0.00118596	1.78519	-3147.57
53.3974	0.767237	22.8987	-69.4	-0.000419325	177.223	6.28262e-05	0.291449	0.00799993	-0.0020142	0	2.8408	-0.00126508	1.78733	-3239.4
54.4649	0.759831	23.5489	-69.9462	-0.000449187	181.412	5.65692e-05	0.29194	0.00773065	-0.00129346	0	2.84082	-0.00138326	1.7816	-3318.46
55.534	0.755258	24.1966	-70.4767	-0.000480011	185.595	5.09023e-05	0.292642	0.0077382	-0.000659718	0	2.84085	-0.00154112	1.76622	-3382.06
56.6063	0.752927	24.8389	-70.9964	-0.000512113	189.765	4.57463e-05	0.293537	0.00794672	-0.000199892	0	2.84088	-0.0017197	1.74289	-3432.18
57.6833	0.752153	25.4734	-71.5021	-0.000546022	193.917	4.10913e-05	0.294631	0.00831213	0.000136752	0	2.84091	-0.00190079	1.7122	-3469.19
58.766	0.752657	26.0981	-71.9931	-0.000582283	198.048	3.69462e-05	0.295799	0.00883893	0.00046804	0	2.84094	-0.00206667	1.67666	-3495.68
59.8552	0.754641	26.7114	-72.4656	-0.000621459	202.155	3.32991e-05	0.296978	0.00953537	0.000907872	0	2.84097	-0.00220672	1.63734	-3512.43
60.9514	0.758747	27.312	-72.9184	-0.000663992	206.237	3.01178e-05	0.29809	0.010402	0.00154793	0	2.84098	-0.00231062	1.59581	-3521.23
62.055	0.765774	27.8991	-73.3503	-0.000710344	210.293	2.73488e-05	0.299119	0.0114126	0.00236802	0	2.84099	-0.00237593	1.55277	-3523.07
63.1659	0.776246	28.472	-73.7658	-0.000761079	214.323	2.49263e-05	0.300039	0.0125036	0.00327836	0	2.84098	-0.00239965	1.51	-3521.49
64.2841	0.790323	29.0304	-74.1621	-0.000816922	218.327	2.2798e-05	0.300932	0.0136148	0.00419467	0	2.84097	-0.00237924	1.46672	-3515.82
65.4094	0.807862	29.5745	-74.545	-0.000878753	222.308	2.09166e-05	0.301761	0.0146954	0.00504616	0	2.84094	-0.00231288	1.42487	-3509.97
66.5412	0.828464	30.1046	-74.9194	-0.000947621	226.265	1.92446e-05	0.302502	0.0157018	0.00577223	0	2.8409	-0.00219882	1.38593	-3507.74
67.6792	0.851524	30.6212	-75.2795	-0.00102665	230.201	1.77513e-05	0.303285	0.0165978	0.0063228	0	2.84084	-0.00203497	1.34771	-3505.49
68.8227	0.876275	31.1254	-75.6327	-0.00111829	234.117	1.64092e-05	0.304055	0.0173531	0.00665355	0	2.84077	-0.00182035	1.31225	-3508.11
69.9712	0.901803	31.6182	-75.9868	-0.00122389	238.015	1.51969e-05	0.304765	0.017944	0.00672713	0	2.84069	-0.00155416	1.28146	-3520.74
71.124	0.927111	32.1008	-76.3347	-0.00134494	241.899	1.40964e-05	0.305536	0.0183561	0.00654376	0	2.84059	-0.00123288	1.25277	-3538.46
72.2804	0.951367	32.5747	-76.686	-0.00148273	245.769	1.30937e-05	0.306272	0.0186	0.00617483	0	2.84047	-0.000855648	1.22855	-3567.19
73.44	0.974077	33.041	-77.0381	-0.00163868	249.628	1.21797e-05	0.306994	0.0187047	0.00571432	0	2.84034	-0.000424407	1.20772	-3604.89
74.6021	0.995094	33.5009	-77.3881	-0.00181387	253.477	1.13453e-05	0.307729	0.0186973	0.00524773	0	2.84021	5.44831e-05	1.18905	-3648.81
75.7665	1.01458	33.9551	-77.7366	-0.00200915	257.318	1.05836e-05	0.30846	0.0185975	0.00485275	0	2.84006	0.000570806	1.17258	-3699.42
76.9328	1.03296	34.4046	-78.0856	-0.00222525	261.152	9.88681e-06	0.309152	0.0184337	0.00459146	0	2.83991	0.00111461	1.15859	-3757.23
78.1007	1.0508	34.8496	-78.4234	-0.00246232	264.979	9.24779e-06	0.30989	0.0182648	0.00447685	0	2.83975	0.0016784	1.14344	-3811.73
79.2705	1.06865	35.2898	-78.7535	-0.00272054	268.799	8.65992e-06	0.310604	0.0181494	0.0044899	0	2.83959	0.0022547	1.12752	-3862.99
80.4425	1.08695	35.7242	-79.0702	-0.00299993	272.61	8.11805e-06	0.311314	0.0181435	0.0046076	0	2.83942	0.00284419	1.10884	-3904.32
81.6171	1.10604	36.1511	-79.3598	-0.00330023	276.412	7.61831e-06	0.312102	0.0182972	0.00480733	0	2.83924	0.00344527	1.08377	-3923.07
82.7952	1.12619	36.5684	-79.6243	-0.00362109	280.201	7.15825e-06	0.312896	0.0186511	0.00506818	0	2.83907	0.00405723	1.05297	-3919.34
83.9777	1.14757	36.9732	-79.8535	-0.00396232	283.975	6.73662e-06	0.313738	0.0192058	0.00536601	0	2.8389	0.00468098	1.01473	-3885.95
85.1652	1.17027	37.3627	-80.0447	-0.0043233	287.732	6.35287e-06	0.314621	0.0199189	0.00567666	0	2.83873	0.0053143	0.969791	-3823.94
86.3583	1.19425	37.7347	-80.1995	-0.0047031	291.469	6.00613e-06	0.315509	0.0207357	0.00597546	0	2.83856	0.00595131	0.919981	-3738.56
87.5572	1.21944	38.0877	-80.3248	-0.00510063	295.187	5.69483e-06	0.316339	0.0216086	0.00624622	0	2.8384	0.00658621	0.868023	-3638.96
88.7618	1.2457	38.4202	-80.4137	-0.00551449	298.885	5.4168e-06	0.317152	0.0224969	0.00647642	0	2.83824	0.00721474	0.81344	-3523.04
89.9721	1.27285	38.7317	-80.4669	-0.00594309	302.563	5.1694e-06	0.317934	0.0233715	0.00665867	0	2.83809	0.00783391	0.757205	-3393.96
